time,username,user_ID,user_level,good_ID,good_name,content,score,source,vote_count,reply_count
2017-05-04 13:18:21,这***伤,10377603631,钻石会员,3014239,【京东超市】吉列剃须刀锋隐致护手动刮胡刀套装（1刀架1刀头+4刀头）京东特供装,说好昨天到的，今天自己去镇上拿回来了，唉~~。之所以选择京东有两大方面的购物乐趣，第一：大平台商品有保障，服务周到；第二：京东快递强上别家不是一点半点。不过自从来浦城这边工作，快递这一方面一直不让我满意，也试着去适应，但真心觉得不方便太多。老家那边同样是在镇上，京东快递会送货上门，还会提前电话通知。而这边呢？也有京东快递，但是我来这边工作一年了，连面都没见上一次，真不是我购物次数少！每次要么自己去镇上小卖铺拿，要么每个件多交*等着第二天别人拿到学校里再自己去领取。是这边京东快递人手不够？也许只要多花十来分钟的时间，真的就能很大的提高我们顾客的购物体验，当然，如果为了图省事方便，我们的感受如何可想而知。这是我的一点意见与请求，望改进。再来说说产品，拿回来我就用了一下，很柔滑，不伤脸，刮得很干净，本来想买电动的，没用过这种就想体验一下，效果比电动的好，毕竟价格摆在这里！,5,来自京东Android客户端,1,0
2017-04-02 12:38:22,j***9,10272763155,钻石会员,3014239,【京东超市】吉列剃须刀锋隐致护手动刮胡刀套装（1刀架1刀头+4刀头）京东特供装,吉列的剃须刀好，加上京东的快，又好又快，完美！,5,来自京东Android客户端,0,0
2017-03-08 07:43:50,穆***助,10199271313,PLUS会员,3014239,【京东超市】吉列剃须刀锋隐致护手动刮胡刀套装（1刀架1刀头+4刀头）京东特供装,包装整洁干净，一刀头+一刀架+4刀头，看着应该不错,5,来自京东iPhone客户端,0,0
2017-04-26 19:04:39,s***s,10349489902,金牌会员,3014239,【京东超市】吉列剃须刀锋隐致护手动刮胡刀套装（1刀架1刀头+4刀头）京东特供装,不错 很满意 就是没有标明原产地 没有找到,5,来自京东Android客户端,0,0
2017-04-07 16:26:16,s***倩,10287683672,金牌会员,3014239,【京东超市】吉列剃须刀锋隐致护手动刮胡刀套装（1刀架1刀头+4刀头）京东特供装,包装还行，就是挺简单的，希望好用吧，外观满分,5,来自京东iPhone客户端,0,0
2017-03-09 09:13:24,古***堂,10202884812,钻石会员,3014239,【京东超市】吉列剃须刀锋隐致护手动刮胡刀套装（1刀架1刀头+4刀头）京东特供装,简单暴力，刚刚拆开以为完蛋了，里面的东西可能没有了，外包装已经人为暴力拆解.......对吉列已经完全无好感，因为是要送人的，目测已经无法使用，等待你们的工作人员重新帮我换一个包装盒.....不知道是否可以如愿,5,来自京东iPhone客户端,4,1
2017-05-04 09:10:05,林***2,10373686237,钻石会员,3014239,【京东超市】吉列剃须刀锋隐致护手动刮胡刀套装（1刀架1刀头+4刀头）京东特供装,好东西，应该是正品，一直用这牌子的。,5,来自京东Android客户端,0,0
2017-03-07 21:29:57,张***2,10198793110,金牌会员,3014239,【京东超市】吉列剃须刀锋隐致护手动刮胡刀套装（1刀架1刀头+4刀头）京东特供装,非常好，比超市便宜 送货特快。是正品,5,来自京东Android客户端,0,1
2017-04-24 04:09:49,只***水,10347544598,金牌会员,3014239,【京东超市】吉列剃须刀锋隐致护手动刮胡刀套装（1刀架1刀头+4刀头）京东特供装,好用，价格比其它站便宜。。。正品,5,来自京东iPhone客户端,0,0
2017-05-07 23:09:11,j***2,10385987264,钻石会员,3014239,【京东超市】吉列剃须刀锋隐致护手动刮胡刀套装（1刀架1刀头+4刀头）京东特供装,还没用，吉列出品应该不会差吧,5,来自京东Android客户端,0,0
